

WARNING ⚠️ inference results will accumulate in RAM unless `stream=True` is passed, causing potential out-of-memory
video 1/1 (frame 13/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 14/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 15/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 16/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 17/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 18/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 19/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 20/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 21/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 22/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 23/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 24/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 25/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 26/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 27/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 28/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 29/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 30/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 31/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 32/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 33/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 34/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 35/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 36/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 37/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 38/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 39/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 40/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 41/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 42/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 43/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 44/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 45/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 46/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 47/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 48/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 49/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 50/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 51/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 52/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 53/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 54/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 55/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 56/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 57/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 58/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 59/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 60/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 61/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 62/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 63/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 64/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 65/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 66/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 67/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 68/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 69/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 70/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 71/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 72/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 73/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 74/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.5ms
video 1/1 (frame 75/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 76/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 77/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 78/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 79/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 80/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 81/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 82/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 83/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 84/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 85/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 86/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 87/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 88/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 89/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 90/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 91/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 92/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 93/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 94/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 95/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 96/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 97/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 98/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 99/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 100/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 101/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 102/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 103/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 104/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 105/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 106/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 107/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 108/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 109/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 110/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 111/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 112/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 113/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.6ms
video 1/1 (frame 114/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.4ms
video 1/1 (frame 115/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 116/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 117/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 118/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 119/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 120/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 121/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 122/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 123/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 124/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 125/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 126/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 127/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 128/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 129/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 130/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 131/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 132/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 133/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 134/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 135/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 136/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 137/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 138/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 139/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 140/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 141/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 142/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 143/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 144/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 145/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 146/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 147/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 148/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 149/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 150/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 151/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 152/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 153/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 154/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 155/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 156/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 157/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 158/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 159/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 160/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 161/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 162/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 163/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 164/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 165/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 166/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 167/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 168/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 169/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 170/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 171/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 172/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 173/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 174/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 175/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 176/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 177/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 178/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 179/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 180/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 181/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 182/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 183/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 184/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 185/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 186/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 187/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.4ms
video 1/1 (frame 188/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
video 1/1 (frame 189/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 1 Well lost, 7.3ms
