

WARNING ⚠️ inference results will accumulate in RAM unless `stream=True` is passed, causing potential out-of-memory
errors for large sources or long-running streams and videos. See https://docs.ultralytics.com/modes/predict/ for help.

Example:
    results = model(source=..., stream=True)  # generator of Results objects
    for r in results:
        boxes = r.boxes  # Boxes object for bbox outputs
        masks = r.masks  # Masks object for segment masks outputs
        probs = r.probs  # Class probabilities for classification outputs

video 1/1 (frame 97/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 98/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 99/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 100/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 101/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 102/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 103/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 104/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 105/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 106/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 107/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 108/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 109/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 110/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 111/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 112/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 113/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.6ms
video 1/1 (frame 114/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 115/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 116/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 117/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 118/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 119/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 120/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 121/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 122/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 123/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 124/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 125/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 126/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 8.6ms
video 1/1 (frame 127/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 128/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 129/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 130/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 131/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 132/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 133/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 134/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 135/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 136/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 137/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 138/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 139/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 140/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 141/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
